dataset,k,memb.exp,silhuette_avg.width,coeff,time
tp1,2,1.2,0.4627261,0.8437633,14.29094
tp1,3,1.2,0.3174114,0.7885362,16.81199
tp1,3,1.3,0.3167244,0.6539404,15.46667
tp1,3,1.4,0.3152686,0.5142567,11.00018
tp1,2,1.3,0.369136,0.6196371,34.66683
tp1,3,1.5,0.3127192,0.3828491,21.35831
tp1,2,1.4,0.3391125,0.4463021,23.26163
tp1,3,1.6,0.3089928,0.2658948,21.66754
tp1,2,1.5,0.3269454,0.3047464,15.72813
tp1,2,1.6,0.3173427,0.1941701,16.34503
tp1,4,1.2,0.3085517,0.7540234,110.7871
tp1,2,1.7,0.3133489,0.1119971,20.74463
tp1,3,1.7,0.2973984,0.1608196,42.11415
tp1,4,1.3,0.2187491,0.551173,49.5999
tp1,6,1.2,0.2630594,0.7581752,137.8374
tp1,5,1.2,0.2389775,0.7281045,170.8664
tp1,4,1.4,0.2091872,0.3921822,233.2448
tp1,4,1.5,0.2060734,0.2686327,27.13848
tp1,5,1.3,0.2339456,0.5494825,152.5704
tp1,4,1.6,0.1989251,0.184319,80.44279
tp1,6,1.3,0.2552845,0.5746736,235.3697
tp1,5,1.4,0.22688,0.3709908,304.0339
tp1,4,1.7,0.1823161,0.1242977,264.0573
tp1,6,1.4,0.2431466,0.3788652,294.6116
tp1,7,1.2,0.2647808,0.7522972,84.80489
tp1,7,1.3,0.2566195,0.5551453,86.32923
tp1,5,1.5,0.2107676,0.2104707,259.485
tp1,6,1.5,0.1934029,0.1748051,355.4882
tp1,7,1.4,0.246416,0.3488796,291.7048
tp1,5,1.6,0.1691586,0.1343563,314.0369
tp1,6,1.6,0.1499838,0.1058741,328.9493
tp1,6,1.7,0.1577357,0.07151127,146.293
tp1,5,1.7,0.1547496,0.09185979,322.5996
tp1,7,1.5,0.1650855,0.1481287,452.2361
tp1,8,1.2,0.2238559,0.7144976,232.0979
tp1,8,1.3,0.216304,0.515707,174.3609
tp1,7,1.6,0.1487874,0.08673718,424.6415
tp1,9,1.2,0.2358227,0.7196176,584.2279
tp1,8,1.4,0.2015709,0.3173747,321.7038
tp1,9,1.3,0.2199502,0.5027678,255.0557
tp1,7,1.7,0.1544282,0.05812304,413.6635
tp1,8,1.5,0.1572242,0.1617664,500.3293
tp1,10,1.2,0.2164538,0.7097284,436.9808
tp1,9,1.4,0.1853389,0.2899373,533.4878
tp1,8,1.6,0.1451313,0.07333591,485.8445
tp1,9,1.5,0.1497455,0.1431942,483.5243
tp1,10,1.3,0.218824,0.4960635,602.0474
tp1,8,1.7,0.003104472,0.0488537,527.1754
tp1,9,1.6,0.03790762,0.06401378,608.6627
tp1,10,1.4,0.1762746,0.2893361,643.8617
tp1,11,1.2,0.2283736,0.7064861,501.8698
tp1,9,1.7,0.1013533,0.04195728,671.6218
tp1,10,1.5,0.1216697,0.1265963,684.906
tp1,11,1.3,0.2080073,0.490729,646.1585
tp1,10,1.6,0.01821788,0.05671588,463.4262
tp1,11,1.4,0.1791974,0.2787556,506.3316
tp1,10,1.7,0.08061199,0.03698561,533.8091
tp1,11,1.5,0.06197043,0.1127196,538.2278
tp1,11,1.6,0.06424217,0.06274538,464.6325
tp1,11,1.7,0.07529782,0.03280312,469.0228
tp1,2,1.04,0.4971824,0.9835575,11.84102
tp1,2,1.02,0.5002428,0.9912974,14.50122
tp1,2,1.1,0.4924836,0.9491783,14.42578
tp1,2,1.08,0.4938548,0.9625407,12.72105
tp1,2,1.14,0.4845596,0.916254,13.00637
tp1,2,1.16,0.4792788,0.8958753,17.60552
tp1,2,1.2,0.4627261,0.8437633,15.02631
tp1,2,1,0,-1,97.85004
tp1,2,1.06,0.4952111,0.9740361,6.91772
tp1,2,1.12,0.4893561,0.9338525,8.322464
tp1,2,1.18,0.472011,0.8720161,11.6749
