"seq","x","y","Rmag","ApD_Rmag","phot_flag","MC_class","MC_z","UjMag","BjMag","VjMag","S280Mag"
126,2475.82,9.4,23.343,0.02,0,"Galaxy",0.102,-13.43,-13.45,-13.96,-13.73
182,6158.53,13.53,23.687,0,0,"Galaxy",0.819,-19.01,-18.43,-18.58,-19.47
183,3638.94,15.64,23.276,0.058,0,"Galaxy",0.608,-18.26,-18.25,-18.67,-18.57
185,5184.49,18.83,23.861,0.013,0,"Galaxy",0.698,-18.23,-18.01,-18.24,-18.88
197,6735.12,12.73,23.524,0.055,0,"Galaxy",0.52,-18.12,-17.44,-17.49,-18.7
198,4364.03,14.13,23.142,0,0,"Galaxy",0.295,-16.17,-16.19,-16.67,-16.18
219,103.05,14.55,23.897,0,1,"Galaxy",1.14,-19.74,-19.67,-19.94,-20.17
220,7267.14,15.17,22.885,0,0,"Galaxy",0.49,-18.1,-17.94,-18.22,-18.35
224,4478.05,20.91,22.746,0.047,3,"Galaxy",0.477,-17.52,-17.99,-18.57,-17.24
239,3571.38,20.94,23.693,0,2,"Galaxy",1.166,-20.08,-19.9,-20.07,-20.49
252,3802.13,15.15,22.966,0,2,"Galaxy",1.224,-21.16,-21.4,-21.97,-21.16
253,3084.9,19.45,22.894,0,0,"Galaxy",0.72,-19.35,-19.16,-19.53,-19.6
254,1052.27,22.52,23.637,0,0,"Galaxy",1.637,NA,NA,NA,NA
269,4074.54,19.21,23.347,0,1,"Galaxy",0.93,-19.89,-20.02,-20.44,-19.94
270,1439.46,23.06,23.947,0,3,"Galaxy",0.186,-14.44,-14.2,-14.79,-13.69
274,1990.74,20.15,23.643,0,3,"Galaxy",0.945,-19.68,-20.04,-20.34,-20.15
286,2482.35,24.03,22.999,0,0,"Galaxy",0.205,-15.53,-15.5,-15.95,-15.97
293,2404.22,25.74,23.001,0.01,0,"Galaxy",0.119,-14.24,-14.29,-14.66,-14.52
309,4665.03,25.26,23.088,0,3,"Galaxy",0.705,-18.97,-19.15,-19.71,-18.44
313,3613.99,29.43,23.821,0,0,"Galaxy",0.725,-18.36,-18.34,-18.38,-18.42
314,6826.97,29.41,23.206,0,3,"Galaxy",0.033,-9.07,-9.81,-11.15,-8.08
322,1455.14,26.16,23.108,0,3,"Galaxy",0.133,-14.45,-14.36,-14.82,-14.87
323,4551.04,26.83,23.752,0,0,"Galaxy",0.847,-19.05,-18.88,-19.11,-19.23
333,5352.21,27.93,22.828,0,0,"Galaxy",0.384,-17.2,-17.29,-17.73,-17.47
344,4388.08,27.52,22.786,0,0,"Galaxy",0.277,-16.26,-16.42,-16.95,-16.43
345,6819.28,26.86,22.769,0,2,"Galaxy",0.756,-19.6,-19.69,-20.25,-19.67
350,2429.69,34.9,23.941,0,3,"Galaxy",1.169,-19.49,-19.3,-19.51,-20.2
351,5499.48,27.26,23.771,0,0,"Galaxy",0.143,-14.42,-14.08,-14.37,-15.15
353,4893.1,29.38,23.434,0,3,"Galaxy",0.945,-19.78,-19.39,-19.65,-19.91
368,4087.08,30.89,23.407,0,2,"Galaxy",1.067,-20.09,-19.45,-19.64,-20.49
384,4901.87,23.59,21.804,0,2,"Galaxy",0.363,-18.09,-18.12,-18.56,-18.4
393,4654.38,30.23,23.657,0,3,"Galaxy",1.136,-19.07,-18.88,-19.09,-20.42
394,4496.79,22.67,21.688,0,3,"Galaxy",0.656,-20.19,-20.11,-20.51,-20.26
400,1265.14,39.28,23.668,0,3,"Galaxy",0.39,-16.81,-16.51,-16.76,-17.55
407,5993.53,32.75,23.038,0,0,"Galaxy",0.635,-18.62,-18.57,-18.86,-18.9
408,3683.31,37.68,22.746,0.075,0,"Galaxy",0.726,-19.39,-19.78,-20.54,-18.77
416,2702.15,39.86,23.281,0,0,"Galaxy",0.826,-19.39,-19.24,-19.51,-19.66
426,2005.67,24.07,23.145,0,3,"Galaxy",1.336,-19.74,-19.92,-20.49,-20.3
427,2088.84,25.7,22.152,0,3,"Galaxy",0.163,-15.5,-15.68,-16.22,-15.54
428,1558.81,41.49,22.881,0,0,"Galaxy",0.622,-18.71,-18.77,-19.22,-18.77
429,4452.3,42.27,23.687,0,0,"Galaxy",0.717,-18.54,-18.26,-18.47,-19.04
439,1841.43,32.24,23.562,0,3,"Galaxy",0.912,-18.83,-18.92,-19.38,-19.73
441,3797.18,39.27,22.734,0,0,"Galaxy",0.775,-19.74,-19.88,-20.44,-19.61
451,3013.36,37.43,23.969,0,0,"Galaxy",0.966,-19.28,-19.08,-19.4,-19.74
452,2428.71,42.54,22.622,0,2,"Galaxy",0.31,-17.22,-16.9,-17.26,-17.62
460,5622.32,41.77,23.853,0,0,"Galaxy",0.527,-17.13,-17.26,-17.9,-17.26
469,3285.91,40.55,22.966,0,0,"Galaxy",0.205,-15.67,-15.51,-16,-15.97
470,3479.41,46.23,23.998,0,0,"Galaxy",0.145,-13.94,-13.83,-14.11,-14.57
471,4026.76,46.82,23.749,0,0,"Galaxy",0.344,-16.55,-16.17,-16.37,-17.3
483,2006.87,39.37,23.869,0,3,"Galaxy",1.824,NA,NA,NA,NA
485,4816.73,46.8,23.097,0,3,"Galaxy",0.089,-13.07,-13.24,-13.85,-13.23
486,2938.25,32.43,22.389,0,0,"Galaxy",0.025,-10.26,-10.7,-11.54,-9.78
487,7847.31,43.27,23.876,0,1,"Galaxy",0.301,-16.16,-15.81,-15.9,-16.72
488,4081.14,44.64,23.01,0,2,"Galaxy",0.967,-20.27,-20.25,-20.49,-20.74
504,6672.34,30.48,20.398,0,2,"Galaxy",0.244,-17.67,-18.16,-19.06,-16.86
505,1342.83,49.01,23.568,0,0,"Galaxy",0.908,-19.5,-19.23,-19.48,-19.79
507,4413.03,48.71,23.013,0,1,"Galaxy",1.282,-20.54,-20.17,-20.38,-21.38
511,3766.82,50.34,23.793,0,3,"Galaxy",0.189,-14.5,-14.52,-14.97,-14.36
523,4483.28,28.19,20.177,0,2,"Galaxy",0.504,-20.24,-20.76,-21.49,-19.86
542,1842.58,44.62,23.4,0,3,"Galaxy",1.268,-20.28,-20.29,-20.64,-20.65
543,6818.13,51.82,23.348,0,2,"Galaxy",0.872,-19.63,-19.92,-20.52,-19.03
544,202.56,53.94,23.928,0,0,"Galaxy",0.898,-19.01,-18.44,-18.58,-19.61
556,5368.72,50.05,23.177,0,0,"Galaxy",1.102,-20.11,-19.74,-19.89,-20.87
562,1853.67,32.21,23.089,0,3,"Galaxy",1.008,-19.97,-18.97,-19.41,-20.15
563,2466.91,46.66,23.162,0,0,"Galaxy",0.674,-18.94,-18.57,-18.64,-19.49
575,1575.58,46.01,22.935,0,2,"Galaxy",0.428,-17.63,-17.46,-17.82,-17.92
