"Fecha"	"BITCOIN_COINDESK"	"BITCOIN_QUANDL"	"Com_Agro"	"Com_Oro"	"Com_Oil"	"USD_EUR"	"USD_BZR"	"USD_INR"	"USD_MEX"	"USD_JPY"	"USD_SWF"	"S_NIKKEI"	"S_NASDAQ"	"S_BOVESPA"	"S_MEX"	"S_FRANK"	"S_SP500"	"S_SWISS"	"S_INDIA"
"19/7/2010"	0.08	NA	938.71	1190.25	72.94	1.2963	1.7857	47.1	12.9111	86.77	1.0524	NA	2198.23	63297	21.280001	6009.109863	1071.25	6156.600098	5386.450195
"20/7/2010"	0.07	NA	930.81	1181.5	73.16	1.2905	1.7789	47.23	12.8451	87.22	1.0481	262.96	2222.49	64463	21.299999	5967.490234	1083.47998	6123.399902	5368
"21/7/2010"	0.08	NA	940.03	1191.25	73.16	1.2818	1.7735	47.08	12.7785	87.3	1052	262.08	2187.33	64477	21.219999	5990.379883	1069.589966	6132.700195	5399.350098
"22/7/2010"	0.05	NA	948.56	1187	73.47	1.2903	1.7639	47.12	12752	87	1.0403	260.74	2245.89	65748	21.32	6142.149902	1093.670044	6194.200195	5441.950195
"23/7/2010"	0.06	NA	950.93	1198.75	74.44	1.2874	1.7618	46.9	12.7666	87.31	1.0529	265.56	2269.47	66323	21.040001	6166.339844	1102.660034	6201.299805	5449.100098
"24/7/2010"	0.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"25/7/2010"	0.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"26/7/2010"	0.06	NA	944.97	1189	74.22	1.2983	1768	47.04	12.6958	87.2	1048	267.15	2296.43	66443	21.09	6194.209961	1115.01001	6199.5	5418.600098
"27/7/2010"	0.06	NA	943.54	1184	73.95	1.2983	1764	46.25	12.6525	87.88	1.0622	267.16	2288.25	66674	21.33	6207.310059	1113.839966	6275.200195	5430.600098
"28/7/2010"	0.06	NA	961.25	1164	73.26	1.2998	1.7623	46.7	12677	87.62	1.0578	272.94	2264.56	66808	21.370001	6178.939941	1106.130005	6277.5	5397.549805
"29/7/2010"	0.07	NA	974.81	1166	74.19	1.3064	1.7678	46.53	12.7278	86.87	1.0412	271.65	2251.69	66954	21.59	6134.700195	1101.530029	6220.600098	5408.899902
"30/7/2010"	0.06	NA	1000.88	1168	74.43	1.3069	1.7585	46.35	12.6421	86.43	1041	267.99	2254.7	67515	21.66	6147.970215	1101.599976	6200.799805	5367.600098
"31/7/2010"	0.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1/8/2010"	0.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2/8/2010"	0.06	NA	1012.8	1178	77.09	1.3174	1746	46.09	12.5771	86.42	1.0379	268.2	2295.36	68517	21.540001	6292.129883	1125.859985	6321.600098	5431.649902
"3/8/2010"	0.06	NA	1005.53	1184	78.41	1.3239	1.7568	46.11	12582	85.88	1.0384	270.72	2283.52	67997	21.309999	6307.910156	1120.459961	6337.700195	5439.549805
"4/8/2010"	0.06	NA	1026.88	1194.5	78.88	1.3158	1.7582	46.02	12546	86.26	1.0514	266.51	2303.57	68272	21.450001	6331.330078	1127.23999	6380.299805	5467.850098
"5/8/2010"	0.06	NA	1045.37	1195.5	78.69	1.3157	1.7565	46.06	12.5441	85.83	1.0475	269.86	2293.06	68412	21.799999	6333.580078	1125.810059	6374.899902	5447.100098
"6/8/2010"	0.06	NA	1024.56	1194.5	78.15	1.3282	1.7585	45.94	12.6667	85.25	1.0365	271.08	2288.47	68095	21.92	6259.629883	1121.640015	6321.399902	5439.25
"7/8/2010"	0.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8/8/2010"	0.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9/8/2010"	0.07	NA	1020.57	1206	78.28	1.3241	1754	46.07	12.6305	85.88	1.0457	270.13	2305.69	67862	21.99	6351.600098	1127.790039	6391.700195	5486.149902
"10/8/2010"	0.07	NA	1012.37	1196.75	76.87	1.3095	1.7613	46.3	12.69	85.88	1.0575	269.22	2277.17	67223	21.77	6286.25	1121.060059	6395	5460.700195
"11/8/2010"	0.07	NA	1008.13	1198	75.4	1.2899	1767	46.66	12.7314	85.36	1.0584	262.99	2208.63	65790	21.200001	6154.069824	1089.469971	6265.799805	5420.600098
"12/8/2010"	0.07	NA	1027.16	1200	73.73	1.2866	1.7685	46.7	12717	85.83	1.0485	260.85	2190.27	65966	21.120001	6135.169922	1083.609985	6279.399902	5416.450195
"13/8/2010"	0.06	NA	1032.93	1215	72.64	1.2767	1.7718	46.61	12.7225	86.2	1.0526	261.96	2173.48	66264	21.24	6110.410156	1079.25	6294.299805	5452.100098
"14/8/2010"	0.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15/8/2010"	0.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"16/8/2010"	0.07	NA	1017.33	1222	72.27	1.2838	1758	46.68	12.6533	85.33	1.0378	261.14	2181.87	66702	21.459999	6110.569824	1079.380005	6285.700195	5418.299805
"17/8/2010"	0.07	NA	1019.61	1226.25	73.25	1289	1.7513	46.6	12.5833	85.51	1.0434	260.57	2209.44	67584	21.290001	6206.399902	1092.540039	6359.700195	5414.149902
