"Fecha"	"BITCOIN_COINDESK"	"USD_EUR"	"USD_BZR"	"USD_INR"	"USD_MEX"	"USD_JPY"	"USD_SWF"
"19/7/2010"	0.08	1.2963	1.7857	47.1	12.9111	86.77	1.0524
"20/7/2010"	0.07	1.2905	1.7789	47.23	12.8451	87.22	1.0481
"21/7/2010"	0.08	1.2818	1.7735	47.08	12.7785	87.3	1.052
"22/7/2010"	0.05	1.2903	1.7639	47.12	12.752	87	1.0403
"23/7/2010"	0.06	1.2874	1.7618	46.9	12.7666	87.31	1.0529
"24/7/2010"	0.05	1.29103333333333	1.76386666666667	46.9466666666667	12.743	87.2733333333333	1.05126666666667
"25/7/2010"	0.05	1.29466666666667	1.76593333333333	46.9933333333333	12.7194	87.2366666666667	1.04963333333333
"26/7/2010"	0.06	1.2983	1.768	47.04	12.6958	87.2	1.048
"27/7/2010"	0.06	1.2983	1.764	46.25	12.6525	87.88	1.0622
"28/7/2010"	0.06	1.2998	1.7623	46.7	12.677	87.62	1.0578
"29/7/2010"	0.07	1.3064	1.7678	46.53	12.7278	86.87	1.0412
"30/7/2010"	0.06	1.3069	1.7585	46.35	12.6421	86.43	1.041
"31/7/2010"	0.07	1.3104	1.75433333333333	46.2633333333333	12.6204333333333	86.4266666666667	1.03996666666667
"1/8/2010"	0.06	1.3139	1.75016666666667	46.1766666666667	12.5987666666667	86.4233333333333	1.03893333333333
"2/8/2010"	0.06	1.3174	1.746	46.09	12.5771	86.42	1.0379
"3/8/2010"	0.06	1.3239	1.7568	46.11	12.582	85.88	1.0384
"4/8/2010"	0.06	1.3158	1.7582	46.02	12.546	86.26	1.0514
"5/8/2010"	0.06	1.3157	1.7565	46.06	12.5441	85.83	1.0475
"6/8/2010"	0.06	1.3282	1.7585	45.94	12.6667	85.25	1.0365
"7/8/2010"	0.06	1.32683333333333	1.757	45.9833333333333	12.6546333333333	85.46	1.03956666666667
"8/8/2010"	0.06	1.32546666666667	1.7555	46.0266666666667	12.6425666666667	85.67	1.04263333333333
"9/8/2010"	0.07	1.3241	1.754	46.07	12.6305	85.88	1.0457
"10/8/2010"	0.07	1.3095	1.7613	46.3	12.69	85.88	1.0575
"11/8/2010"	0.07	1.2899	1.767	46.66	12.7314	85.36	1.0584
"12/8/2010"	0.07	1.2866	1.7685	46.7	12.717	85.83	1.0485
"13/8/2010"	0.06	1.2767	1.7718	46.61	12.7225	86.2	1.0526
"14/8/2010"	0.07	1.27906666666667	1.7672	46.6333333333333	12.6994333333333	85.91	1.04766666666667
"15/8/2010"	0.07	1.28143333333333	1.7626	46.6566666666667	12.6763666666667	85.62	1.04273333333333
"16/8/2010"	0.07	1.2838	1.758	46.68	12.6533	85.33	1.0378
"17/8/2010"	0.07	1.289	1.7513	46.6	12.5833	85.51	1.0434
"18/8/2010"	0.07	1.2872	1.7513	46.54	12.5975	85.31	1.0404
"19/8/2010"	0.07	1.2837	1.7626	46.35	12.731	85.27	1.031
"20/8/2010"	0.07	1.2687	1.7615	45.7	12.7705	85.63	1.0372
"21/8/2010"	0.07	1.2679	1.76233333333333	45.9666666666667	12.8053666666667	85.4733333333333	1.03783333333333
"22/8/2010"	0.07	1.2671	1.76316666666667	46.2333333333333	12.8402333333333	85.3166666666667	1.03846666666667
"23/8/2010"	0.06	1.2663	1.764	46.5	12.8751	85.16	1.0391
"24/8/2010"	0.06	1.2675	1.7622	46.86	12.9184	84.16	1.0307
"25/8/2010"	0.06	1.2652	1.768	46.87	13.0291	84.56	1.0273
"26/8/2010"	0.06	1.2717	1.759	46.78	12.9753	84.61	1.0253
"27/8/2010"	0.06	1.2765	1.7493	46.8	13.0008	85.1	1.0268
"28/8/2010"	0.06	1.27386666666667	1.75186666666667	46.8233333333333	13.0484	84.9566666666667	1.026
"29/8/2010"	0.06	1.27123333333333	1.75443333333333	46.8466666666667	13.096	84.8133333333333	1.0252
"30/8/2010"	0.06	1.2686	1.757	46.87	13.1436	84.67	1.0244
"31/8/2010"	0.06	1.2704	1.7529	47.02	13.1671	84.1	1.015
"1/9/2010"	0.06	1.2813	1.7406	46.74	13.04	84.48	1.0149
"2/9/2010"	0.06	1.2824	1.7339	46.65	13.055	84.15	1.0118
"3/9/2010"	0.06	1.2885	1.7238	46.58	12.945	84.45	1.0174
"4/9/2010"	0.06	1.28445	1.72485	46.64	12.973725	84.275	1.0159
"5/9/2010"	0.06	1.2804	1.7259	46.7	13.00245	84.1	1.0144
"6/9/2010"	0.06	1.27635	1.72695	46.76	13.031175	83.925	1.0129
"7/9/2010"	0.06	1.2723	1.728	46.82	13.0599	83.75	1.0114
"8/9/2010"	0.06	1.2727	1.723	46.5	13.0135	83.85	1.0106
"9/9/2010"	0.06	1.2708	1.7256	46.3	13.0127	83.83	1.0149
"10/9/2010"	0.06	1.2731	1.7183	46.28	12.9605	84.13	1.0175
"11/9/2010"	0.06	1.2784	1.7177	46.2733333333333	12.9281666666667	83.93	1.0143
"12/9/2010"	0.06	1.2837	1.7171	46.2666666666667	12.8958333333333	83.73	1.0111
"13/9/2010"	0.06	1.289	1.7165	46.26	12.8635	83.53	1.0079
"14/9/2010"	0.06	1.3014	1.7037	46.15	12.8177	83.05	0.9938
"15/9/2010"	0.06	1.3008	1.7176	46.23	12.7772	85.63	1.0032
"16/9/2010"	0.06	1.3079	1.7198	46.14	12.8531	85.72	1.0143
"17/9/2010"	0.06	1.3046	1.7145	45.88	12.8075	85.77	1.0092
"18/9/2010"	0.06	1.30553333333333	1.71493333333333	45.8033333333333	12.7953333333333	85.76	1.0078
"19/9/2010"	0.06	1.30646666666667	1.71536666666667	45.7266666666667	12.7831666666667	85.75	1.0064
"20/9/2010"	0.06	1.3074	1.7158	45.65	12.771	85.74	1.005
